rocks,total missed,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
Apatite,944,81,34,43,32,15,2,11,25,7,10,3,16,2,27,7,1,0,6,11,2,3,2,2,1,6,0,2,3,7,13,0,3,1,0,0,7,3,0,6,9,7,8,2,0,0,0,3,0,3,1,0,0,0,0,0,2,0,4,0,1,0,0,1,0,5,1,0,3,1,1,2,1,1,6,2,0,2,5,5,6,2,3,0,0,1,0,3,4,38,32,14,1,4,0,1,3,36,11,2,5,0,3,1,1,0,0,1,2,1,0,0,0,11,1,4,4,0,0,4,0,0,1,0,0,0,2,1,1,1,0,3,2,2,0,2,1,1,0,1,4,2,13,4,0,1,1,0,13,18,28,5,38,10,11,9,5,11,0,14,11,22,8,8,8,5,3,5
Diatomite,864,68,40,18,3,5,1,17,5,5,2,4,3,0,7,12,0,1,3,1,8,3,1,5,0,3,2,0,2,7,10,0,1,1,0,0,0,5,4,3,4,4,2,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,2,14,1,7,2,4,0,9,1,2,16,4,3,0,3,3,0,8,1,69,20,21,3,3,1,0,1,22,6,3,7,2,4,0,1,1,2,1,0,0,0,0,2,13,2,4,3,0,2,6,0,1,1,2,0,0,1,2,1,1,0,2,1,2,2,1,1,1,2,3,4,4,26,2,0,4,0,0,10,25,17,18,25,4,9,1,0,7,3,43,9,14,5,12,10,7,13,13
Celestine,828,63,17,5,15,5,5,1,50,1,3,23,11,6,9,14,0,0,5,0,2,17,5,5,0,6,0,2,6,1,3,1,0,1,1,0,4,5,2,2,10,8,5,2,4,3,1,8,0,1,1,3,0,1,0,2,0,0,3,0,6,4,2,5,2,3,0,0,1,0,5,7,0,5,13,6,0,4,4,1,2,5,2,2,3,2,0,1,0,42,16,32,0,0,2,9,6,5,12,2,4,6,1,0,1,1,0,2,0,2,0,0,0,1,3,1,3,0,0,5,3,1,3,1,0,1,0,3,1,1,0,1,2,5,1,0,1,1,2,0,3,5,17,0,2,1,5,1,6,14,4,8,36,9,6,4,2,6,1,15,12,11,7,8,8,9,6,6
Barite,771,62,44,32,27,8,6,11,26,2,3,8,3,12,7,8,0,0,2,0,0,8,7,6,0,4,2,0,5,7,7,3,4,1,0,0,3,6,3,2,4,5,3,4,3,0,3,1,1,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,1,4,1,0,0,2,2,5,1,5,7,5,2,2,3,3,9,4,0,0,0,0,0,2,2,32,9,19,1,3,0,2,3,4,0,2,3,3,3,0,10,0,0,0,0,1,1,1,0,1,2,2,5,0,4,0,2,2,1,0,0,5,0,2,0,9,0,0,2,7,2,11,0,4,2,3,3,2,8,3,1,1,0,0,8,4,3,22,38,7,2,1,1,4,0,9,10,9,4,14,11,10,0,9
Mica Schist,702,44,26,11,16,2,7,5,15,0,4,3,3,13,5,18,0,0,0,3,1,10,3,0,0,3,1,0,0,5,8,1,1,3,1,0,1,5,1,2,8,2,4,3,0,0,0,1,0,0,1,2,2,0,0,0,0,1,8,4,0,1,0,0,2,8,0,0,0,2,4,7,0,8,14,18,11,2,3,0,5,9,2,0,2,0,0,1,5,28,14,15,0,1,0,1,1,7,7,0,3,3,3,0,2,0,0,0,1,4,0,1,0,2,0,6,4,0,1,4,1,2,1,0,0,0,0,1,1,0,0,1,4,5,1,1,0,2,2,1,0,2,3,2,1,2,1,0,4,25,5,25,17,15,4,5,1,6,1,15,4,21,5,6,16,2,6,16
Selenite,677,35,29,19,20,9,1,22,26,0,9,7,3,3,5,17,0,0,4,2,2,0,5,0,0,6,0,0,9,4,7,1,0,2,0,0,0,2,2,14,8,3,5,1,2,0,0,7,0,1,2,0,1,0,0,0,0,0,2,0,1,4,5,0,1,2,0,0,1,3,7,8,3,7,6,2,0,2,4,1,6,3,0,1,0,1,1,1,1,30,11,23,1,4,5,1,3,5,7,1,4,2,1,0,4,1,1,0,0,0,0,0,0,3,0,0,3,0,0,2,3,1,2,0,0,0,0,1,0,1,0,0,1,2,0,3,1,2,4,1,2,3,10,5,0,2,0,1,7,7,20,8,11,13,3,2,2,1,1,26,6,4,2,12,9,4,2,12
Dolomite,664,61,22,19,6,11,1,4,11,2,7,12,1,3,14,12,0,1,4,2,2,2,4,1,0,4,0,2,5,2,4,0,1,0,0,0,0,8,1,5,8,2,0,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,3,3,2,2,3,2,0,4,0,0,0,2,2,8,3,5,10,2,0,4,4,5,3,0,2,0,4,1,0,0,7,26,11,32,1,0,0,2,2,7,10,3,2,0,3,0,1,0,0,2,0,0,0,1,0,4,1,3,1,0,0,1,2,0,3,0,0,0,0,1,0,0,4,7,3,4,0,3,0,2,5,0,1,1,5,2,0,2,0,0,15,16,2,2,25,2,11,9,1,1,2,17,10,26,4,3,10,3,4,9
Rhyolite,652,43,41,11,35,9,2,4,11,0,8,0,0,5,14,6,0,0,0,3,1,3,2,3,0,1,0,0,2,5,4,1,0,1,0,0,1,7,0,6,3,1,5,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,3,2,0,4,1,0,0,4,0,0,1,1,7,4,0,3,5,9,4,3,1,3,7,0,0,2,1,2,0,6,2,30,19,20,0,3,1,1,3,8,13,3,16,1,3,0,0,0,0,0,0,0,0,0,1,4,0,6,2,0,0,8,0,2,3,2,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,2,1,10,1,0,0,0,0,8,15,5,14,25,3,8,0,2,2,2,8,4,16,5,8,12,6,3,15
Calcite,650,15,24,19,14,1,0,34,22,4,1,2,12,19,31,11,0,0,2,7,1,3,8,2,0,2,1,0,2,3,8,2,2,1,0,0,0,9,0,7,9,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,4,0,2,0,2,0,0,0,0,0,3,1,3,11,6,4,3,2,2,6,4,2,1,0,1,0,0,1,20,15,15,1,5,0,1,1,12,9,0,2,5,0,1,1,0,0,0,0,0,0,0,3,4,1,5,1,1,0,2,4,2,1,0,0,0,1,1,1,2,0,3,1,3,1,1,2,1,2,0,3,5,13,2,1,2,0,0,3,7,5,11,28,9,1,1,2,3,1,18,7,11,1,5,4,6,4,18
Topaz,648,42,26,36,40,2,5,6,24,0,10,3,1,6,8,26,1,0,1,1,1,0,2,1,0,3,1,1,1,4,1,1,4,3,1,0,0,4,0,0,6,10,2,0,3,0,1,3,0,0,0,5,0,0,1,1,0,0,3,3,0,0,2,1,0,1,0,0,0,2,1,2,0,7,11,0,2,5,0,2,3,3,1,2,0,0,0,2,4,42,16,16,2,0,0,0,0,6,12,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,2,6,1,2,4,1,1,0,1,3,0,0,1,11,1,1,1,3,0,1,3,15,15,12,5,5,3,0,5,2,15,13,20,6,15,5,2,2,3
Sphalerite,647,27,22,14,21,2,5,13,27,1,2,4,7,3,8,7,0,0,1,0,2,0,9,3,1,6,1,0,5,7,6,0,0,0,0,1,0,2,2,10,3,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,1,5,0,4,0,2,0,0,1,1,5,3,1,8,7,24,3,1,4,1,3,3,4,3,5,0,0,2,2,39,12,16,4,3,0,2,2,19,0,1,4,2,1,0,0,1,0,1,0,1,0,1,0,5,1,1,0,0,0,2,2,2,2,0,0,3,1,0,0,0,0,0,0,4,0,2,0,3,0,0,4,1,9,1,2,1,1,6,14,5,6,11,12,7,13,7,2,8,3,19,8,2,9,4,7,1,3,12
Phyllite,647,57,34,20,6,3,2,2,19,0,5,2,1,0,4,4,0,0,2,2,0,14,4,2,0,1,1,1,6,6,7,8,2,1,1,3,2,4,2,2,2,6,3,1,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,3,0,0,2,0,4,8,1,9,10,3,4,5,6,1,4,3,0,2,0,0,1,2,3,24,13,25,2,3,0,1,3,13,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,1,5,0,2,0,1,2,0,0,1,15,1,1,3,5,1,3,14,6,24,12,11,9,2,0,0,4,33,14,15,1,5,12,6,1,10
Dolostone,642,55,52,28,6,4,2,2,17,0,6,9,5,4,7,18,3,1,0,3,1,3,9,5,0,3,0,1,1,10,1,3,4,1,1,0,1,3,1,2,2,2,7,2,2,0,1,4,0,2,0,1,0,0,0,0,0,0,1,2,0,6,0,2,1,1,0,0,2,1,2,3,3,3,5,1,1,1,2,0,13,7,2,2,1,1,0,0,3,35,32,3,0,8,0,1,5,16,8,4,7,0,3,0,0,0,0,1,1,0,0,0,0,1,0,5,3,0,0,2,0,1,1,1,0,0,0,6,1,0,0,0,3,5,0,0,0,0,0,1,3,0,11,3,0,1,1,3,5,5,4,10,9,6,2,1,0,2,7,7,8,8,1,4,10,4,0,12
