username#discrim,total score,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-05,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
ansere#6930,9107,306,164,135,0,0,0,89,1079,0,0,3,9,42,94,0,638,2,9,0,153,0,211,232,215,0,7,0,0,14,0,107,9,1,0,0,0,0,0,0,268,213,0,609,0,51,8,32,1092,0,15,0,0,0,0,0,0,0,10,7,1,4,22,149,81,3,376,0,0,0,10,0,0,31,172,227,1100,0,0,0,0,5,36,68,5,142,1,1,342,1,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redwoodsareawesome#8337,8265,163,196,117,191,96,38,53,78,0,39,265,233,191,115,501,283,5,6,63,90,0,250,260,148,2,5,0,2,12,84,32,1,0,0,0,1,80,132,48,122,110,82,306,216,44,11,30,279,23,197,0,15,5,0,1,46,62,0,96,38,39,140,198,118,89,413,0,0,1,9,0,31,19,161,219,620,216,2,5,14,248,99,3,8,0,19,19,0,2,32,7,67,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thenerdicat#8741,6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,29,2,0,0,0,0,621,617,857,230,6,139,105,0,13,124,146,505,871,959,200,38,16,20,5,200,87,261,171,49,198,0,4,64
thegroundsloth#7907,4488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,277,296,174,5,2,0,21,0,0,0,25,43,3,1,0,0,2,5,0,0,0,0,0,33,0,0,5,0,60,0,1,6,0,32,365,297,89,66,278,20,184,139,0,0,34,0,0,0,0,251,14,189,7,4,0,19,0,0,0,5,145,0,115,0,0,7,0,36,63,0,0,0,26,0,13,44,0,0,0,117,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,239,0,11,0,0,0,158,200,55,115,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twig#4682,4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266,67,11,143,415,261,19,106,0,0,25,2,187,4,81,319,94,0,247,105,44,56,0,11,0,0,31,0,0,21,0,0,20,0,0,1,0,0,0,0,68,0,0,0,0,0,28,4,114,29,0,0,0,0,0,177,112,114,0,55,11,0,0,77,295,31,166,0,0,0,11,35,0,0,107,0,0,0,10,0,0,0,21,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oriviaaa𓆝#9745,3006,369,403,35,192,140,1,181,0,0,26,21,0,0,0,60,22,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,37,0,119,411,165,22,0,0,9,0,0,1,78,0,34,1,68,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,12,94,4,14,30,0,0,1,0,0,0,0,0,0,0,10,0,1,3,1,0,0,0,1,0
agneg05#1080,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,149,527,0,59,52,47,86,0,0,0,133,0,0,64,37,0,0,0,222,318,236,0,0,0,0,0,0,49,105,0,204,0,188,14,0,0,66,0,0,0,7,0,0,0,9,0,20,0,0,0,0,0,0,33,0,0,0,0,0,53,27,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,25,0,0,0
hboy#7382,2758,0,0,0,0,0,0,0,0,0,2,34,44,1,26,11,6,20,0,6,0,3,0,0,0,0,0,0,17,43,64,23,71,1,0,0,0,0,0,8,20,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,23,12,91,1,34,317,197,251,108,26,220,0,107,6,2,29,101,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,39,107,4,5,16,0,0,51,47,62,6,6,1,0,22,157,0,0,0,0,0
DanZ137#6479,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,97,28,6,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,172,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titus Tsai#5394,1465,0,0,36,25,11,12,0,9,0,0,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,11,0,0,0,0,0,66,0,0,0,1,31,32,13,8,0,5,0,0,0,0,0,0,7,2,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,128,0,45,0,0,0,0,0,0,0,42,0,229,12,0,0,42,0,0,0,0,0,0,0,0,0,20,0,0,0,29,0,0,0,0,0,0,0,13,36,0,29,11,50,0,0,0,45,0,0,0,0,0,0,0,0,0,15,0,0,0,83,0,0,44,0,0,0,0,0,11,172,69,10,0,0,0,0,0,0
