username#discrim,current streak,max streak
ansere#6930,10,103
doratheexplorer#1505,6,6
clammy#2247,6,6
will0416#7684,6,20
no idea#9506,6,10
￦onjae#9080,5,26
Oriviaaa𓆝#9745,5,72
POErifera#9187,4,4
twig#4682,4,102
redwoodsareawesome#8337,4,87
᲼᲼᲼#4715,4,4
Titus Tsai#5394,4,19
nvm2501#2415,4,7
gyth 7a+#9260,4,17
Kiera#6253,3,5
agneg05#1080,3,38
eco#7067,3,3
cryo#3499,3,9
Aarne210#0210,3,3
Ingreeduh#9884,2,2
jxsmine#9703,2,2
-nany-#0554,2,3
WilliamLiu#3421,2,12
Thenerdicat#8741,2,92
hboy#7382,2,52
jackie.jc.c#3237,2,4
Christopher Ou#9030,2,21
Granata#9267,2,6
aud#9497,2,2
Molybon#3095,2,4
Laurat#1015,2,2
Aarush#1070,2,2
mushu#0498,2,2
DanZ137#6479,2,82
mitchell#7918,2,14
[11.33] KsCz03#1078,2,2
GoldMin#5123,2,2
Deadbird402#7703,2,2
YitMeng#0109,2,7
jlee2733#8697,2,6
a_hobbit#9182,2,5
Shinichi Inoue#7661,1,1
Noe#8666,1,1
KingShaurya#9022,1,1
fireheart#2578,1,4
Sue-Yan#3660,1,19
Lotusater#8263,1,1
Mocha#5086,1,1
PM MMM MM MM M#5264,1,1
Hunter Xu#3771,1,1
Mich#0063,1,36
greater roadrunner#6226,1,1
sanjai#2726,1,1
lemon#6767,1,11
Kyle.#0392,1,1
tF7#5690,1,2
dUcK#5163,1,3
ThanawitTH#2229,1,2
AndNyX#3684,1,6
Stalin#3465,1,1
Kerbal Kosmonaut#3020,1,4
Viraj#0062,1,2
cado#2888,1,2
Seoyoung#9534,1,9
punaskiiru#9611,1,16
SqwOsh#1023,1,1
AJOOLPOD#1342,1,19
UltraFermion#2596,1,13
ann •~•#9704,1,2
bkxsun#9433,1,5
swablu#7132,1,2
cooked#8292,1,5
StoneStone#9080,1,8
charlatan#8018,1,4
ryazshark#8703,1,1
Black Cat 99168#3523,1,17
heeheemcgee#1819,1,1
Yadelb#7835,1,9
nikoko#5601,1,3
aurum#9391,1,3
jolly#6176,1,13
aqua dolphin#2892,1,9
cowdischarge#9961,1,5
fwedish#0191,1,1
nicolek#3834,1,5
gelatina del césped#2038,1,2
AVDestroyer#6398,1,14
mling23#2828,1,6
Yeerica#4507,1,1
Its a maan#3843,1,9
clock#4073,1,4
Scienceman748964#4697,0,0
monaalsaeedi#2613,0,0
Uchaev Viktor#1088,0,1
MarieMalige[FRA]#6741,0,3
Arithat (THA-S04)#7804,0,2
Hanyue-Fumitaka#0868,0,0
I_am_a_giraffe_sue_me#5495,0,3
esmee (they/she/he)#2683,0,1
William Lee#0606,0,27
Rakha Iqbal#9093,0,1
"Ming- Jhe, Tsai#5076",0,2
Malak#1022,0,0
SweatyThunder#8621,0,0
C. Grain#6802,0,2
Yinaro#1099,0,2
Lakshya#4766,0,0
mich#0555,0,0
ᴘᴜʀʟ#0044,0,0
hyperquark#0456,0,0
MainTortoise213#2214,0,2
Deleted User a3e05c14#3804,0,0
cymbidium#2318,0,2
Nixvell#7315,0,0
Trixx#5580,0,0
Prat#8995,0,0
trashcanman#1554,0,0
Gyrase#2690,0,1
RonAnflooD#7824,0,0
Da Bee#3448,0,0
corgilover0323#8246,0,0
Lil' Pulushu#5173,0,4
annak#7970,0,2
viv5_11#1773,0,0
ajg1234#5518,0,0
Ajool#7812,0,9
sunn uwu#2612,0,3
K.O Mech#6369,0,4
Polaris#5304,0,6
felsic#4562,0,4
Coldramen772#6319,0,0
tofu#4124,0,8
NymphicusHollandicus#8267,0,1
apple#9888,0,2
Ramen.png#8218,0,3
TrehelbIra#3465,0,0
Agent99#6364,0,1
rachel_12#9324,0,1
twopencecoin#6302,0,11
DarkAlvin1478#0041,0,0
Samarahu#8156,0,1
amellis#1538,0,5
CarrotOnTheDay#2095,0,6
lavar ball#2773,0,0
pandabear#0001,0,0
Musikhin Kirill (Russia)#8774,0,1
yutongke#3470,0,3
dast#1688,0,3
Hiroyasu Sato#2087,0,1
Tidalwolf#1437,0,2
ryu!#1567,0,0
SciolyKid36#5780,0,6
phoebebridgersfan#6686,0,0
ｐｅｐｅ#2860,0,0
Bananasaurus#0001,0,1
*cringe*#2616,0,3
mindy#0359,0,16
operationeggroll#1449,0,0
fizzle fizzle fizzle#3851,0,0
Rix15#3557,0,0
[dahsgottabefake]#0709,0,2
box#8177,0,2
isaackim#3661,0,2
baby oogway#2025,0,0
Ian C#7593,0,0
nayrie#0963,0,0
randomthing#5648,0,0
Ascenova#0839,0,0
citrus-melon#0001,0,0
Rithhvik#9325,0,8
ruby4red#0942,0,1
Binderclips1#7395,0,0
A Huge Yoimiya Simp (with nitro)#3806,0,0
broccolina#3938,0,0
AwesomeAashray#8362,0,2
persøn#8411,0,1
Papasconmayo#6481,0,2
DESTRUCTOR365#7789,0,0
monchito#1735,0,0
A wild antic appeared!#5091,0,2
AheadRain#2407,0,1
Jahir M. Islam (he/his)#4081,0,0
Run4Life13#6969,0,0
hi.hello#8755,0,1
Sunshinee#6965,0,3
superpenguin612#4406,0,0
sbbbbbbb#3860,0,6
Evie#5362,0,5
FizzFizz#9859,0,3
Lord Nefarious#1362,0,3
ella5102#4982,0,5
SimasT12#9438,0,2
Aryan Andaleeb Azim#8150,0,0
crunchysoup#0831,0,15
kingdubreasy#9790,0,5
flowercity#7395,0,1
Patrick's Bff#3871,0,0
SilverBreeze#4983,0,1
birbble (❁'▽'❁)*✲ﾟ*#6523,0,0
ken2005#5622,0,6
Extrino#9923,0,0
sorina#7018,0,0
Alexhere#6289,0,5
Bregstick#1178,0,0
thegroundsloth#7907,0,57
grace_z#8214,0,4
UmiShark#7520,0,3
arjefferson#4157,0,0
Path to Creation#1666,0,2
lawnmower#5005,0,0
colposh#6841,0,8
Hu man#0675,0,3
